Set Number,Number of Features,Features,KMeans Silhouette Score,KMeans Davies-Bouldin Index,KMeans Calinski-Harabasz Score,KMeans Prediction Accuracy,DBSCAN Silhouette Score,DBSCAN Davies-Bouldin Index,DBSCAN Prediction Accuracy,Best eps,Best min_samples
51,5,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'PREMISES_Freq']",0.4446134779657236,0.9572962550966919,3624.2815846887806,44.46134779657236,0.521863816159094,0.8368004125134956,52.186381615909404,1.9,3
52,5,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'Loca_Premi_Freq']",0.4446559957020244,0.9093620104274984,3623.2123695322475,44.46559957020244,0.521274903299245,0.8111754831578849,52.1274903299245,2.0,3
53,5,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'Division_Freq']",0.4746693652850313,0.8699310735104824,4073.4541815247794,47.466936528503126,0.5037676411962951,0.8927794917283984,50.37676411962951,1.0,3
54,6,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'Division_Freq', 'LOCATION_Freq']",0.4130803114125127,1.112409092869542,2316.884588682364,41.30803114125127,0.42061307909583895,1.0908754855245737,42.061307909583896,1.6,3
55,6,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'Division_Freq', 'PREMISES_Freq']",0.36402901018552897,1.1617692638048762,2474.1384763629176,36.402901018552896,0.4174511242280391,1.0897415301371944,41.745112422803906,1.9,3
56,6,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'Division_Freq', 'Loca_Premi_Freq']",0.3648835235170778,1.1487777262706618,2472.4786675635573,36.48835235170778,0.41770683151876215,1.0845646707692185,41.77068315187621,2.0,3
57,5,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'HOOD_Freq']",0.47787520047272697,0.9658328307653776,3403.921053605675,47.7875200472727,0.645569667855094,0.4366049140009813,64.55696678550939,0.6,3
58,6,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'HOOD_Freq', 'LOCATION_Freq']",0.4138886286586924,1.2673964630637293,2055.1264707250043,41.38886286586924,0.5226182070324091,0.5490636506279606,52.261820703240915,1.5,3
59,6,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'HOOD_Freq', 'PREMISES_Freq']",0.35818304309613563,1.1513578993040559,2301.1921406703436,35.818304309613566,0.512337674414512,0.7436815720523294,51.23376744145119,1.9,3
60,6,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'HOOD_Freq', 'Loca_Premi_Freq']",0.4531260643109472,1.0624303380972084,2312.942731604061,45.31260643109472,0.5128802629518973,0.7401341533732179,51.288026295189724,2.0,3
61,5,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'DIV_HOOD_Hier']",0.6227176530908096,0.6127123791420509,5623.734584914698,62.27176530908096,0.6509752031137122,0.4314573950682985,65.09752031137121,0.5,3
62,6,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'LOCATION_Freq']",0.5032749903780137,0.8457889824970017,3089.8489015343102,50.327499037801374,0.52669411577311,0.5419410206105401,52.669411577310996,1.5,3
63,6,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'PREMISES_Freq']",0.4494054906273795,1.0688184439338784,2298.9848416895175,44.94054906273795,0.5160441178444244,0.7414447103833726,51.60441178444244,1.9,3
64,6,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']",0.500165913555229,0.8249153472327677,3094.822979484664,50.0165913555229,0.5164502184518324,0.7377481218197414,51.64502184518324,2.0,3
65,5,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_WGS84', 'LAT_WGS84']",0.45712468113143456,0.829718915553123,4140.784036709533,45.71246811314346,0.5083489283148359,0.8577740211772557,50.83489283148359,0.5,3
66,6,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_WGS84', 'LAT_WGS84', 'LOCATION_Freq']",0.36120909586074357,1.1143300768441347,2501.5484648613956,36.120909586074355,0.42459403802836476,1.0698073346049355,42.459403802836476,1.6,3
67,6,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_WGS84', 'LAT_WGS84', 'PREMISES_Freq']",0.37202373061172345,1.1202869118881613,2217.7683770903436,37.202373061172345,0.42187722687175916,1.0670662181596435,42.18772268717591,1.9,3
68,6,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_WGS84', 'LAT_WGS84', 'Loca_Premi_Freq']",0.3586210635315983,1.0989773789488126,2501.62943118698,35.86210635315983,0.4222022172449427,1.0566219124490417,42.22022172449427,2.0,3
69,6,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq']",0.3039261436807426,1.3661134101871244,1741.420352308884,30.392614368074263,0.42439769667283916,1.0375357091232724,42.43976966728392,0.8,3
70,7,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'LOCATION_Freq']",0.3204175861884069,1.2666486947479128,1927.6521962912768,32.04175861884069,0.35938830327002375,1.2728480035598142,35.93883032700237,1.6,3
71,7,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'PREMISES_Freq']",0.2524885556363787,1.5919049582430207,1210.2673559622285,25.248855563637868,0.35756588444737264,1.2714759875967705,35.75658844473726,1.9,3
72,7,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'Loca_Premi_Freq']",0.31703998808206235,1.2605987885027112,1927.4986888864157,31.703998808206237,0.35780288273950117,1.2683447173694933,35.78028827395012,2.0,3
73,6,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq']",0.36009058408912603,1.152028329702302,2326.815334605411,36.0090584089126,0.518052590050705,0.6405648400587718,51.8052590050705,0.7,3
74,7,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'LOCATION_Freq']",0.41886557109675215,1.0225795507545785,2236.93911497931,41.886557109675216,0.4303733714410436,0.863412437328924,43.037337144104356,1.6,3
75,7,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'PREMISES_Freq']",0.4165130715448132,1.019985849361997,2238.7360152230885,41.65130715448132,0.4269339978026881,0.8761984127915619,42.69339978026881,1.9,3
76,7,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'Loca_Premi_Freq']",0.3528148388402614,1.1879753350118678,1670.562169024275,35.28148388402614,0.42745878562479755,0.8807033169603615,42.74587856247975,2.0,3
77,6,"['DOW_Weekend', 'DOW_Begin', 'DOW_Mid', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier']",0.5017019454913002,0.8312661968686479,3328.1339868889477,50.170194549130024,0.5222718303807717,0.6359974730602944,52.22718303807717,0.5,3
